action,player,time
Teleport Part,player1,4:43:13
Teleport Part,player1,4:43:18
Teleport Part,player2,4:45:47
Teleport Part,player2,4:45:57
Teleport Part,player2,4:46:20
Teleport Part,player2,4:46:20
Spawn Pieces,player2,4:46:24
Spawn Pieces,player2,4:46:24
Spawn Pieces,player2,4:46:24
Spawn Pieces,player2,4:46:24
Teleport Part,player2,4:46:47
Teleport Part,player2,4:46:48
Teleport Part,player2,4:46:50
Teleport Part,player2,4:46:51
Teleport Part,player2,4:46:51
Teleport Part,player2,4:46:55
Teleport Part,player2,4:46:55
Teleport Part,player2,4:46:56
Teleport Part,player2,4:46:57
Teleport Part,player2,4:46:58
Teleport Part,player2,4:46:59
Teleport Part,player2,4:47:0
Teleport Part,player2,4:47:2
Teleport Part,player2,4:47:6
Teleport Part,player2,4:47:7
Teleport Part,player2,4:47:8
Teleport Part,player2,4:47:20
Teleport Part,player2,4:47:21
Teleport Part,player2,4:47:21
Teleport Part,player2,4:47:23
Teleport Part,player2,4:47:28
Teleport Part,player2,4:47:28
Teleport Part,player2,4:47:29
Spawn Pieces,player1,4:47:30
Spawn Pieces,player1,4:47:30
Spawn Pieces,player1,4:47:30
Spawn Pieces,player1,4:47:30
Spawn Pieces,player1,4:47:30
Spawn Pieces,player1,4:47:30
Teleport Part,player2,4:47:30
Spawn Pieces,player1,4:47:31
Spawn Pieces,player1,4:47:31
Spawn Pieces,player1,4:47:31
Teleport Part,player2,4:47:58
Teleport Part,player2,4:48:10
Teleport Part,player1,4:48:11
Teleport Part,player1,4:49:22
Teleport Part,player2,4:50:26
Teleport Part,player2,4:50:27
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Spawn Pieces,player1,4:50:46
Teleport Part,player2,4:50:51
Teleport Part,player2,4:50:52
Spawn Pieces,player1,4:51:10
Spawn Pieces,player1,4:51:10
Spawn Pieces,player1,4:51:10
Spawn Pieces,player1,4:51:10
Spawn Pieces,player1,4:51:10
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player1,4:51:11
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:19
Spawn Pieces,player2,4:51:20
Spawn Pieces,player2,4:51:20
Spawn Pieces,player2,4:51:20
Spawn Pieces,player2,4:51:20
Spawn Pieces,player2,4:51:20
Spawn Pieces,player2,4:51:20
Teleport Part,player2,4:51:25
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Spawn Pieces,player1,4:51:28
Teleport Part,player1,4:52:57
Teleport Part,player2,4:52:59
Teleport Part,player1,5:13:36
Teleport Part,player1,5:14:9
Teleport Part,player1,5:14:14
Teleport Part,player1,5:14:18
Teleport Part,player1,5:14:33
Teleport Part,player1,5:14:44
Teleport Part,player1,5:14:50
Teleport Part,player1,5:15:1
Teleport Part,player2,8:7:50
Teleport Part,player2,8:7:51
Teleport Part,player1,8:25:38
Teleport Part,player1,8:25:39
Teleport Part,player2,8:27:10
Teleport Part,player1,8:28:28
Teleport Part,player2,8:28:36
Teleport Part,player1,8:28:48
Teleport Part,player1,8:28:52
Teleport Part,player1,8:30:10
Teleport Part,player2,8:30:29
Teleport Part,player2,8:30:30
Teleport Part,player1,8:32:8
Teleport Part,player2,8:34:38
Teleport Part,player2,8:47:17
Teleport Part,player2,8:47:17
Teleport Part,player2,8:47:17
Teleport Part,player2,8:47:32
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:40
Spawn Pieces,player2,8:47:41
Teleport Part,player1,8:47:45
Teleport Part,player2,8:47:54
Teleport Part,player2,8:47:58
Teleport Part,player1,8:49:18
Teleport Part,player2,8:49:27
Teleport Part,player2,8:49:28
Teleport Part,player2,8:49:28
Teleport Part,player1,8:49:37
Teleport Part,player2,8:49:51
Spawn Pieces,player2,8:51:13
Spawn Pieces,player2,8:51:13
Teleport Part,player2,8:51:27
Teleport Part,player2,8:51:27
Teleport Part,player2,8:51:28
Teleport Part,player2,8:51:28
Teleport Part,player2,8:51:29
Teleport Part,player2,8:51:39
Teleport Part,player2,8:51:40
Teleport Part,player2,8:51:40
Teleport Part,player2,8:54:46
Teleport Part,player1,8:54:51
