Source,Target,Weight,Time
2,2,1,4:43:13
2,4,1,4:43:18
4,4,1,4:45:47
4,4,2,4:45:57
4,4,3,4:46:20
4,3,1,4:46:20
3,3,1,4:46:24
3,3,2,4:46:24
3,3,3,4:46:24
3,4,2,4:46:24
4,4,4,4:46:47
4,4,5,4:46:48
4,4,6,4:46:50
4,4,7,4:46:51
4,4,8,4:46:51
4,4,9,4:46:55
4,4,10,4:46:55
4,4,11,4:46:56
4,4,12,4:46:57
4,4,13,4:46:58
4,4,14,4:46:59
4,4,15,4:47:0
4,4,16,4:47:2
4,4,17,4:47:6
4,4,18,4:47:7
4,4,19,4:47:8
4,4,20,4:47:20
4,4,21,4:47:21
4,4,22,4:47:21
4,4,23,4:47:23
4,4,24,4:47:28
4,4,25,4:47:28
4,1,1,4:47:29
1,1,1,4:47:30
1,1,2,4:47:30
1,1,3,4:47:30
1,1,4,4:47:30
1,1,5,4:47:30
1,4,2,4:47:30
4,1,3,4:47:30
1,1,6,4:47:31
1,1,7,4:47:31
1,4,4,4:47:31
4,4,26,4:47:58
4,2,2,4:48:10
2,2,2,4:48:11
2,4,3,4:49:22
4,4,27,4:50:26
4,1,5,4:50:27
1,1,8,4:50:46
1,1,9,4:50:46
1,1,10,4:50:46
1,1,11,4:50:46
1,1,12,4:50:46
1,1,13,4:50:46
1,1,14,4:50:46
1,1,15,4:50:46
1,4,6,4:50:46
4,4,28,4:50:51
4,1,7,4:50:52
1,1,16,4:51:10
1,1,17,4:51:10
1,1,18,4:51:10
1,1,19,4:51:10
1,1,20,4:51:10
1,1,21,4:51:11
1,1,22,4:51:11
1,1,23,4:51:11
1,1,24,4:51:11
1,1,25,4:51:11
1,1,26,4:51:11
1,1,27,4:51:11
1,1,28,4:51:11
1,3,1,4:51:11
3,3,4,4:51:19
3,3,5,4:51:19
3,3,6,4:51:19
3,3,7,4:51:19
3,3,8,4:51:19
3,3,9,4:51:19
3,3,10,4:51:20
3,3,11,4:51:20
3,3,12,4:51:20
3,3,13,4:51:20
3,3,14,4:51:20
3,4,3,4:51:20
4,1,8,4:51:25
1,1,29,4:51:28
1,1,30,4:51:28
1,1,31,4:51:28
1,1,32,4:51:28
1,1,33,4:51:28
1,1,34,4:51:28
1,1,35,4:51:28
1,2,1,4:51:28
2,4,4,4:52:57
4,2,5,4:52:59
2,2,3,5:13:36
2,2,4,5:14:9
2,2,5,5:14:14
2,2,6,5:14:18
2,2,7,5:14:33
2,2,8,5:14:44
2,2,9,5:14:50
2,4,6,5:15:1
4,4,29,8:7:50
4,2,7,8:7:51
2,2,10,8:25:38
2,4,8,8:25:39
4,2,9,8:27:10
2,4,10,8:28:28
4,2,11,8:28:36
2,2,11,8:28:48
2,2,12,8:28:52
2,4,12,8:30:10
4,4,30,8:30:29
4,2,13,8:30:30
2,4,14,8:32:8
4,4,31,8:34:38
4,4,32,8:47:17
4,4,33,8:47:17
4,4,34,8:47:17
4,3,4,8:47:32
3,3,15,8:47:40
3,3,16,8:47:40
3,3,17,8:47:40
3,3,18,8:47:40
3,3,19,8:47:40
3,3,20,8:47:40
3,2,1,8:47:41
2,4,15,8:47:45
4,4,35,8:47:54
4,2,16,8:47:58
2,4,17,8:49:18
4,4,36,8:49:27
4,4,37,8:49:28
4,2,18,8:49:28
2,4,19,8:49:37
4,3,5,8:49:51
3,3,21,8:51:13
3,4,6,8:51:13
4,4,38,8:51:27
4,4,39,8:51:27
4,4,40,8:51:28
4,4,41,8:51:28
4,4,42,8:51:29
4,4,43,8:51:39
4,4,44,8:51:40
4,4,45,8:51:40
4,2,20,8:54:46
