t,s1,t1,s2,t2,s3,t3,s4,t4
1,1,1,0,0,0,0,0,0
2,0,0,0,0,1,1,1,1
3,1,1,1,1,0,0,1,1
3,1,1,1,1,0,0,0,0
3,1,1,0,0,0,0,0,0
4,1,2,1,2,2,2,0,0
4,2,2,0,0,2,3,0,0
5,3,2,0,0,1,1,1,1
5,0,0,0,0,1,2,0,0
5,0,0,0,0,2,2,0,0
5,0,0,0,0,2,3,0,0
5,0,0,0,0,3,1,0,0
6,0,0,2,3,0,0,1,2
6,0,0,0,0,0,0,2,2
6,0,0,0,0,0,0,2,3
7,0,0,0,0,1,2,0,0
8,2,3,0,0,2,3,2,3
8,3,2,0,0,3,1,0,0
8,0,0,0,0,1,1,0,0
10,3,3,0,0,2,2,2,3
11,0,0,0,0,0,0,2,3
12,2,3,2,3,3,1,0,0
12,0,0,3,2,0,0,0,0
13,1,1,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0
14,1,1,0,0,1,2,0,0
14,1,1,0,0,2,2,0,0
14,1,1,0,0,0,0,0,0
14,1,2,0,0,0,0,0,0
15,2,3,3,1,0,0,2,3
15,0,0,1,1,0,0,0,0
15,0,0,1,1,0,0,0,0
15,0,0,1,1,0,0,0,0
15,0,0,1,2,0,0,0,0
15,0,0,2,2,0,0,0,0
16,0,0,3,2,3,1,0,0
16,0,0,0,0,1,1,0,0
16,0,0,0,0,1,2,0,0
16,0,0,0,0,2,2,0,0
16,0,0,0,0,2,3,0,0
16,0,0,0,0,3,1,0,0
16,0,0,0,0,1,1,0,0
17,2,2,3,2,2,2,2,3
17,2,3,0,0,0,0,3,1
17,3,2,0,0,0,0,1,1
17,0,0,0,0,0,0,1,1
18,3,3,3,1,3,1,0,0
18,3,2,0,0,1,1,0,0
18,0,0,0,0,1,2,0,0
18,0,0,0,0,2,2,0,0
19,3,4,1,1,0,0,1,1
19,0,0,1,1,0,0,1,1
19,0,0,1,2,0,0,0,0
19,0,0,2,2,0,0,0,0
20,0,0,3,2,0,0,0,0
21,1,1,0,0,0,0,0,0
21,1,1,0,0,0,0,0,0
22,0,0,3,2,0,0,0,0
22,0,0,2,3,0,0,0,0
22,0,0,3,1,0,0,0,0
23,1,1,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0
24,2,2,1,1,0,0,0,0
24,0,0,1,1,0,0,0,0
24,0,0,1,1,0,0,0,0
25,3,2,0,0,0,0,1,2
25,2,2,0,0,0,0,2,2
25,0,0,0,0,0,0,2,3
26,3,2,2,2,0,0,2,3
