Source,Target,Weight
1,1,20.210230600228
1,2,12
1,5,6
1,6,2
1,7,2
1,8,1
1,9,6
1,10,7
1,11,9
1,12,2
1,13,13
1,14,6
1,15,9
2,2,18.011612043692
2,3,18.354551682799
2,5,3
2,6,4
2,7,6
2,9,3
2,10,11
2,11,12
2,12,1
2,13,9
2,14,8
2,15,11
2,16,1
3,1,7
3,2,18.4523157636392
3,3,9
3,4,6
3,5,1
3,6,3
3,7,6
3,9,7
3,10,8
3,11,9
3,13,7
3,14,4
3,15,5
4,1,5
4,8,1
4,9,2
4,15,2
5,1,4
5,2,1
5,3,1
5,5,4
5,6,9
5,9,6
5,10,1
5,11,3
5,15,1
6,1,1
6,2,4
6,3,3
6,6,3
6,7,6
6,9,7
6,10,3
6,11,3
6,13,4
6,14,4
6,15,2
7,1,2
7,2,2
7,3,1
7,4,1
7,5,1
7,6,8
7,8,6
7,9,1
7,10,3
7,11,4
7,13,1
8,1,2
8,2,1
8,9,1
8,10,2
8,13,3
8,14,1
9,1,11
9,2,6
9,3,8
9,4,2
9,5,4
9,6,4
9,7,5
9,9,18.354551682799
9,10,6
9,13,7
9,14,6
9,15,4
10,1,7
10,2,15
10,3,8
10,5,3
10,7,3
10,10,10
10,11,19.2829218977735
10,13,8
10,14,7
10,15,9
11,1,3
11,2,6
11,3,13
11,5,1
11,6,2
11,8,1
11,9,6
11,10,19.2296181090383
11,11,5
11,12,6
11,13,6
11,14,5
11,15,7
12,1,1
12,3,1
12,5,3
12,9,5
13,1,12
13,2,8
13,3,10
13,4,1
13,5,2
13,6,2
13,8,1
13,9,8
13,10,7
13,11,3
13,13,16.5
13,14,9
14,1,12
14,2,8
14,3,14
14,5,1
14,6,1
14,7,1
14,9,6
14,10,8
14,11,6
14,14,3
14,15,17.3586795351633
15,1,7
15,2,3
15,3,5
15,5,1
15,6,2
15,7,1
15,9,4
15,10,4
15,11,4
15,13,3
15,14,18.354551682799
15,16,9
16,2,2
16,9,1
16,10,1
16,11,2
16,12,1
16,13,2
