t,s1,t1,s2,t2,s3,t3,s4,t4
1,0,0,1,1,0,0,1,1
1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,0,0
2,0,0,1,1,1,1,1,1
2,0,0,1,1,1,1,1,1
2,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,0,0
3,1,1,2,2,1,1,1,2
4,0,0,0,0,0,0,2,3
5,0,0,3,2,2,2,2,2
5,0,0,0,0,2,3,2,3
5,0,0,0,0,3,2,0,0
6,1,1,2,3,0,0,0,0
7,1,1,0,0,2,3,0,0
7,1,1,0,0,3,2,0,0
7,0,0,0,0,2,3,0,0
7,0,0,0,0,3,3,0,0
8,2,2,2,3,0,0,0,0
8,2,3,0,0,0,0,0,0
9,0,0,0,0,0,0,2,3
10,2,2,3,2,0,0,0,0
11,0,0,0,0,2,3,0,0
11,0,0,0,0,3,1,0,0
12,3,2,3,1,1,1,3,2
12,0,0,0,0,1,1,2,3
12,0,0,0,0,1,1,0,0
12,0,0,0,0,1,1,0,0
13,3,3,0,0,1,2,1,1
13,3,2,0,0,2,2,1,1
14,3,1,1,1,0,0,1,1
14,1,1,1,1,0,0,0,0
15,0,0,0,0,0,0,1,1
16,1,1,0,0,3,2,2,2
16,1,1,0,0,2,2,0,0
16,1,1,0,0,0,0,0,0
17,0,0,1,1,0,0,0,0
18,1,2,1,2,3,2,3,2
18,0,0,2,2,2,3,2,2
18,0,0,2,3,0,0,0,0
18,0,0,3,2,0,0,0,0
18,0,0,2,2,0,0,0,0
19,2,3,0,0,3,2,0,0
19,3,2,0,0,0,0,0,0
19,2,2,0,0,0,0,0,0
20,0,0,3,2,0,0,3,2
20,0,0,0,0,0,0,2,3
21,3,2,0,0,3,1,0,0
21,0,0,0,0,1,1,0,0
21,0,0,0,0,1,1,0,0
22,3,3,3,3,0,0,3,2
22,3,2,3,2,0,0,0,0
22,2,3,0,0,0,0,0,0
23,1,1,0,0,1,2,0,0
23,0,0,0,0,2,2,0,0
24,1,1,3,1,3,2,0,0
24,1,2,0,0,0,0,0,0
24,2,2,0,0,0,0,0,0
24,2,3,0,0,0,0,0,0
24,3,2,0,0,0,0,0,0
25,3,2,1,1,0,0,0,0
25,0,0,1,1,0,0,0,0
25,0,0,1,2,0,0,0,0
26,3,1,0,0,3,2,3,1
26,0,0,0,0,0,0,1,1
27,1,1,0,0,3,1,0,0
27,1,1,0,0,1,1,0,0
27,0,0,0,0,1,1,0,0
27,0,0,0,0,1,1,0,0
28,1,2,2,3,0,0,1,1
29,2,3,0,0,1,2,2,2
29,3,2,0,0,2,2,2,3
29,0,0,0,0,2,3,0,0
30,0,0,2,3,2,3,2,3
30,0,0,3,2,0,0,3,2
30,0,0,0,0,0,0,2,3
30,0,0,0,0,0,0,3,1
31,3,2,0,0,0,0,0,0
32,3,2,3,1,2,3,0,0
32,2,3,1,1,3,2,0,0
32,3,2,0,0,0,0,0,0
33,0,0,1,1,3,2,1,1
33,0,0,0,0,0,0,1,1
34,3,2,1,2,3,2,0,0
34,2,3,0,0,0,0,0,0
34,3,3,0,0,0,0,0,0
35,1,1,2,3,3,3,1,2
35,1,2,0,0,3,1,2,2
35,2,2,0,0,0,0,2,3
36,3,1,2,3,0,0,2,3
36,1,2,3,2,0,0,0,0
37,0,0,0,0,0,0,2,3
38,0,0,3,2,1,2,2,3
38,0,0,2,3,0,0,0,0
39,0,0,0,0,0,0,2,3
39,0,0,0,0,0,0,3,2
40,0,0,2,3,2,3,3,3
40,0,0,0,0,0,0,3,1
40,0,0,0,0,0,0,1,1
42,0,0,0,0,0,0,0,0
43,0,0,2,3,1,2,2,2
43,0,0,3,3,0,0,0,0
43,0,0,3,1,0,0,0,0
44,3,2,1,2,3,2,3,1
45,3,1,0,0,3,1,0,0
45,0,0,0,0,1,1,0,0
46,0,0,0,0,1,1,2,3
46,0,0,0,0,1,1,0,0
46,0,0,0,0,1,1,0,0
47,1,1,2,3,1,2,0,0
47,0,0,3,1,2,2,0,0
47,0,0,1,2,0,0,0,0
47,0,0,2,3,0,0,0,0
48,1,1,2,3,0,0,0,0
48,1,1,3,1,0,0,0,0
49,1,2,1,1,3,2,0,0
49,2,2,1,1,0,0,0,0
50,3,2,1,1,0,0,2,3
50,0,0,1,1,0,0,3,1
50,0,0,1,2,0,0,1,1
50,0,0,2,2,0,0,0,0
51,0,0,3,2,0,0,0,0
52,0,0,0,0,3,2,1,1
52,0,0,0,0,2,3,0,0
53,3,2,0,0,0,0,1,1
54,0,0,0,0,2,3,1,2
55,0,0,3,2,2,3,2,3
55,0,0,0,0,3,2,3,2
55,0,0,0,0,2,3,2,3
55,0,0,0,0,3,1,3,2
55,0,0,0,0,1,2,0,0
56,3,2,3,2,3,4,0,0
56,0,0,0,0,4,1,0,0
57,3,2,0,0,1,1,3,2
57,2,3,0,0,1,1,0,0
58,2,3,3,2,1,1,0,0
59,1,2,0,0,1,2,0,0
59,2,3,0,0,2,2,0,0
60,4,1,3,2,3,2,3,2
60,1,1,2,3,2,2,2,3
60,0,0,3,1,2,3,3,2
60,0,0,1,2,0,0,0,0
60,0,0,2,3,0,0,0,0
60,0,0,3,4,0,0,0,0
60,0,0,4,1,0,0,0,0
61,1,1,1,1,2,3,0,0
61,1,1,1,1,0,0,0,0
62,1,1,0,0,0,0,0,0
63,2,2,1,1,3,2,0,0
63,0,0,1,1,2,3,0,0
63,0,0,1,2,3,1,0,0
63,0,0,2,2,1,1,0,0
63,0,0,2,3,0,0,0,0
64,3,2,2,2,0,0,3,1
64,2,2,2,3,0,0,1,2
64,0,0,0,0,0,0,2,3
64,0,0,0,0,0,0,3,4
64,0,0,0,0,0,0,4,1
64,0,0,0,0,0,0,1,1
64,0,0,0,0,0,0,1,1
65,0,0,0,0,1,1,1,1
65,0,0,0,0,1,1,1,1
65,0,0,0,0,0,0,1,1
66,0,0,0,0,1,1,2,2
66,0,0,0,0,0,0,2,3
67,3,2,2,3,2,2,0,0
67,0,0,0,0,2,3,0,0
67,0,0,0,0,3,2,0,0
68,0,0,3,2,2,3,2,2
69,3,3,0,0,0,0,0,0
71,0,0,3,1,0,0,3,2
71,0,0,0,0,0,0,2,3
72,2,3,0,0,2,3,0,0
73,1,1,1,1,3,2,3,2
73,1,1,1,1,2,3,0,0
73,1,1,0,0,3,1,0,0
73,1,1,0,0,0,0,0,0
74,1,1,1,1,1,1,3,1
74,0,0,1,1,0,0,1,1
75,0,0,2,2,1,2,0,0
75,0,0,0,0,2,2,0,0
76,0,0,3,2,0,0,1,1
76,0,0,0,0,0,0,1,1
76,0,0,0,0,0,0,1,1
77,2,2,2,3,0,0,1,2
77,2,3,3,2,0,0,2,2
77,3,2,0,0,0,0,0,0
77,2,2,0,0,0,0,0,0
77,2,3,0,0,0,0,0,0
78,0,0,0,0,3,2,0,0
79,2,3,0,0,3,2,3,2
79,3,3,0,0,2,3,2,2
79,3,2,0,0,0,0,0,0
80,3,1,0,0,0,0,0,0
80,1,1,0,0,0,0,0,0
81,0,0,0,0,1,1,0,0
82,1,1,0,0,1,1,0,0
82,1,2,0,0,1,1,0,0
82,2,2,0,0,0,0,0,0
83,0,0,3,3,2,2,3,2
84,3,2,0,0,3,2,3,3
85,0,0,2,3,3,2,2,3
85,0,0,3,1,0,0,0,0
86,0,0,0,0,0,0,1,1
86,0,0,0,0,0,0,1,1
86,0,0,0,0,0,0,1,1
87,0,0,1,1,0,0,2,2
87,0,0,1,1,0,0,0,0
87,0,0,1,2,0,0,0,0
88,3,2,2,3,3,2,0,0
89,0,0,0,0,0,0,3,2
89,0,0,0,0,0,0,2,3
89,0,0,0,0,0,0,3,2
89,0,0,0,0,0,0,2,3
89,0,0,0,0,0,0,3,1
90,0,0,0,0,3,2,1,1
90,0,0,0,0,2,3,1,1
90,0,0,0,0,3,2,1,1
90,0,0,0,0,0,0,1,2
91,3,1,2,3,0,0,0,0
91,1,1,3,2,0,0,0,0
92,1,1,3,1,0,0,2,3
92,0,0,0,0,0,0,3,2
92,0,0,0,0,0,0,2,3
93,1,2,1,1,3,3,0,0
93,2,2,0,0,3,1,0,0
