Source,Target,Duration
1,5,0.028076497264610478
5,1,0.03427365711018865
1,9,0.16615755260698736
9,13,0.16243631440762302
13,13,0.1924874871321366
13,9,0.34002465343122656
9,9,0.019552631618381833
9,13,0.16411936951674821
13,5,0.07258450028896735
5,1,0.07731949960486606
1,5,0.2131786884747391
5,9,0.028605316586720164
9,9,0.018626368227008694
9,13,0.22994196300794134
13,5,0.02334926082906441
5,13,0.1473252891319754
13,1,0.13869191723789642
1,13,0.09943582700208875
13,9,0.07127735352315234
9,1,0.12148949649626228
1,1,0.12351408380966467
1,5,0.039333077581583
5,9,0.13444086001949618
9,1,0.04462813679312161
1,2,0.02066085156728814
2,5,0.09268127124365266
5,10,0.12580365728054899
10,10,0.0660722771202158
10,2,0.03447520641315682
2,13,0.03740999177595272
13,5,0.7475490879347295
5,14,0.5562187185252254
14,3,0.16524531676660104
3,2,0.41037893882746257
2,14,0.1506075421592321
14,11,0.06031701514626153
11,2,0.3088890137145617
2,6,0.1098712893162519
6,10,0.1221251267324801
10,3,0.18992510763693904
3,6,0.09042588336255619
6,2,0.027901308545410508
2,10,0.35650809504125647
10,7,0.15029948839907092
7,3,0.013114685552401362
3,6,0.048968023457193866
6,6,0.06488630509489735
6,3,0.18640947163662425
3,15,0.2274289832985028
15,2,0.053771566283067784
2,11,0.052697151899310235
11,3,0.1985469879457975
3,10,0.18786237678402884
10,1,0.05066234244117762
1,1,0.38935585519072635
1,7,0.2163929022567075
7,11,0.03596140122158786
11,1,0.034606622727519465
1,14,0.27318982801231506
14,6,0.0038069320984259747
6,14,0.013492913760115854
14,1,0.06148256078972558
1,7,0.5135543906706399
7,15,0.009965656792699562
15,14,0.07369524177464726
14,1,0.24631788819389477
1,1,0.25380669469956096
1,7,0.24105568798465526
7,1,0.14815279955479
1,2,0.3528662045715443
2,2,0.2809700663753105
2,15,0.05601717589350663
15,6,0.31423927267289997
6,11,0.18997556601645016
11,10,0.07589450209606774
10,7,0.2617287746552872
7,5,0.3200924684797233
5,11,0.11330044159012509
11,5,0.2558541531942904
5,15,0.13392349598405495
15,9,0.04751400535787731
9,14,0.01433283325218504
14,9,0.37370151199280244
9,9,0.1986139401325122
9,9,0.1150922387041664
9,5,0.3402059367051322
5,3,0.431662102549204
3,2,0.03133543694097618
2,9,0.36041660893660143
9,5,0.1965617333289913
5,2,0.1972954970291898
2,9,0.13556873694513527
9,5,0.36700641165322523
5,5,0.10253786461990799
5,5,0.15668289167950178
5,6,0.2144686856736584
6,6,0.05176858872250989
6,9,0.2906306001303971
9,10,0.01128257556515777
10,7,0.04040659120207479
7,15,0.15999991161269733
15,3,0.01619924888305846
3,2,0.0216685702248256
2,13,0.14861791589925488
13,6,0.1897276092205935
6,10,0.13612772429679154
10,13,0.009878009610584826
13,3,0.20884134130350063
3,6,0.1555852100029469
6,13,0.07375502830246461
13,13,0.01133433746339918
13,7,0.20691351003841874
7,6,0.08472347804411129
6,7,0.024085674333793605
7,7,0.23282730091183268
7,13,0.6185774948339784
13,6,0.025166946038883253
6,13,0.018981118625060134
13,13,0.28855741055168593
13,7,0.35049386817048145
7,14,0.3921268931261892
14,5,0.16455658524396455
5,3,0.1110395831176838
3,5,0.0429635001430988
5,11,0.1095626171182893
11,2,0.34563796873915464
2,10,0.4700247129203703
10,14,0.008374399279823308
14,10,0.03783953546139074
10,5,0.1894835764598639
5,15,0.3314326677811117
15,11,0.5314063703755423
11,5,0.27319352205345737
5,6,0.02444339845404997
6,14,0.009902992547850431
14,14,0.03289631299251994
14,15,0.013012725729740993
15,10,0.10565229800883102
10,3,0.11537855896371596
3,6,0.08153397569416398
6,11,0.02147529765715106
11,11,0.0759473105781936
11,1,0.07691164590229604
1,10,0.15998197058818064
10,1,0.29755917576418867
1,1,0.0875529986363901
1,14,0.13869994380462813
14,15,0.5666604356359208
15,7,0.4028212062132006
7,11,0.24125061292307493
11,9,0.2770847225753741
9,9,0.2316481898350382
9,6,0.2697384817346915
6,9,0.02822702551851819
9,1,0.19992327447610592
1,7,0.17526338469801672
7,2,0.399739671757267
2,9,0.002337903268752939
9,6,0.16762691191716073
6,2,0.2887678075226461
2,10,0.008399252146631397
10,3,0.0351698383164063
3,2,0.01128202688115465
2,15,0.09096656428874184
15,14,0.3147554534762449
14,7,0.5750382425735374
7,15,0.2103611565032537
15,5,0.039514097986529606
5,13,0.09065537911774157
13,10,0.08023425385495742
10,3,0.04622386126583322
3,13,0.4343206685609218
13,5,0.04637803364737181
5,13,0.3217610294249482
13,13,0.10480987925660656
13,2,0.06151475673318885
2,5,0.5472902626300957
5,3,0.1336280478877363
3,1,0.0878074970052296
1,14,0.004313927322591837
14,5,0.021036831861941607
5,14,0.1609990523525866
14,1,0.0010201053468712473
1,5,0.026429798040506824
5,15,0.18534294903209414
15,6,0.15883023253670814
6,1,0.1016898941286648
1,14,0.037986610189541636
14,11,0.3135370287007788
11,15,0.12341547433828737
15,6,0.0905212389923804
6,7,0.036735662391368606
7,14,0.348992623651025
14,10,0.2100661455762527
10,6,0.003352155529533718
6,7,0.4045831993497515
7,1,0.06037642279389388
1,6,0.09037369725386668
6,11,0.028382675756901676
11,10,0.011112451412508051
10,1,0.12466006742666735
1,2,0.06385508950346974
2,2,0.021287592154912716
2,15,1.1992318693422988
15,13,0.14008542088981102
13,3,0.07534428779789692
3,7,0.11948183144774305
7,11,0.00916075905507796
11,13,0.07726743809048742
13,9,0.18096558875598134
9,13,0.1905346789254594
13,13,0.11981244316810091
13,13,0.04683677123224328
13,9,0.05352304105019101
9,14,0.011883984330225417
14,2,0.1422616046199181
2,6,0.028394604916478272
6,7,0.058716282627514715
7,9,0.11735369257853279
9,14,0.10672192321878526
14,3,0.17253178756949694
3,6,0.17356817020561266
6,9,0.21624777831958397
9,15,7.04599650944715e-4
15,9,0.016202907142385925
9,10,0.10532085291541193
10,10,0.03338073087015658
10,2,0.18564727886954557
2,3,0.02695314309136876
3,7,0.2656012305466078
7,6,0.02499882575364154
6,2,0.10160181046803274
2,14,0.22238864734227093
14,7,1.1793681567195833
7,3,0.23705478082353437
3,11,0.13767373094378854
11,2,0.12093117316535285
2,7,0.2547005929646815
7,3,0.18066378133691785
3,10,0.10822275148062488
10,15,0.19125602819109133
15,14,0.6810228970638192
14,2,0.0284615594749269
2,15,0.29919023627402197
15,14,0.14190355112033615
14,11,0.3079229935132659
11,5,0.02354697621380808
5,10,0.0929746421052755
10,15,0.007982303877568597
15,11,0.023140426298013494
11,10,0.19927037760326982
10,14,0.07958580483459343
14,11,0.2038181096370053
11,5,0.26102801321691516
5,15,0.09711366565125701
15,14,0.08783598785959867
14,10,0.20379861954115341
10,3,0.07778527518291867
3,3,0.57343989323617
3,6,0.2424292102346044
6,11,0.2502490712383363
11,6,0.24435947339209463
6,1,0.0913413249007533
1,1,0.20474627860898664
1,15,0.09676201821474706
15,10,0.0765705182818266
10,2,0.0809468177907533
2,7,0.02130787722816052
7,5,0.06724122683721134
5,6,0.01802488838315952
6,11,0.7935530901583334
11,7,0.02293147828338249
7,6,0.6886786208252857
6,15,0.12840101913596413
15,11,0.10396656690090822
11,9,0.07628447067266819
9,7,0.5746570226178918
7,2,0.02779980130720361
2,5,0.25378006372499584
5,3,0.3663969035516246
3,5,0.005651112436538597
5,1,0.0628718499710601
1,13,0.029235154595070867
13,13,0.18843166512839815
13,2,0.01321076797510301
2,14,0.09572086608348229
14,14,0.037513487621637864
14,9,0.04608116107651483
9,5,0.020585848222147263
5,10,0.0514405437160903
10,10,0.016607400425002083
10,5,0.6288705426567915
5,11,0.4785574531781407
11,9,0.1854346703797205
9,15,0.009573900264307156
15,10,0.08378935710523905
10,3,0.02856786319771487
3,11,0.08791701415439945
11,5,0.1448661654884731
5,5,0.06285559943610508
5,13,0.18850496810134132
13,10,0.2770072489595705
10,5,0.08497677877456766
5,2,0.001032262105994164
2,6,0.1380802761723814
6,6,0.8177922260657056
6,3,0.31320673856851755
3,1,0.2542001667689391
1,7,0.047836781420826924
7,1,0.009518980884131167
1,6,0.34032679986453473
6,7,0.19837506343586853
7,14,0.07530840549006257
14,1,0.140577546403442
1,11,0.13532839476793868
11,6,0.02441650489573277
6,7,0.006849147055156379
7,1,0.2533861895628249
1,9,0.0022220097456369103
9,15,0.03463700801528091
15,6,0.1960992972520259
6,1,0.0595284386745476
1,9,0.021761860463989535
9,14,0.31834731784558556
14,7,0.18374348110714323
7,15,0.06761499597638476
15,1,0.04021031185211399
1,9,0.38868844460029806
9,9,0.01100550581017501
9,9,0.12020146383393637
9,9,0.011799703505623427
9,13,0.12294062442524734
13,13,0.031921703526059275
13,9,0.02776356739460084
9,13,0.18593667088967436
13,10,0.036000562293949656
10,6,0.019013609066739434
6,13,0.21327544747534688
13,10,0.2908556038959844
10,13,0.2967655937081801
13,11,0.2379349554500223
11,1,0.14738931425454638
1,2,0.2529593845229243
2,10,0.06894948048609706
10,13,0.13348975554141873
13,13,0.7406167079569173
13,2,0.3024933941698791
2,3,0.016729215049451795
3,2,0.02894321873647243
2,11,0.19058125586094832
11,7,0.024831856562315124
7,6,0.20921326890697856
6,14,0.2805759105477037
14,14,0.019210981417330686
14,10,0.007680279112086907
10,15,0.05691501904824037
15,7,0.17056908120864733
7,14,0.027725381621813483
14,15,0.10821032341998915
15,14,0.16022874612361448
14,3,0.2752434613934511
3,5,0.7596086083592013
5,6,0.41569091502675093
6,2,0.11506159550615536
2,11,0.24663469438416286
11,10,0.06897851199149585
10,7,0.0690928022098447
7,8,0.034335115146006956
8,5,0.022863411087534757
5,5,0.23788270834653247
5,5,0.05086645112754695
5,15,0.1366938905550228
15,14,0.05677924976940574
14,15,0.5310038010319929
15,11,0.034044096810795565
11,5,0.08640934003310008
5,5,0.06546905364636046
5,5,0.07211258716085922
5,14,0.1371848978398731
14,5,0.06599263892557161
5,3,0.3514021768143891
3,10,0.08841989579519094
10,2,0.26574076320822115
2,3,0.05913645920142585
3,6,0.5458939502912799
6,2,0.3546974289880893
2,3,0.01122269598626957
3,6,0.006831729642087225
6,7,0.0028772580319014196
7,6,0.13996380556322663
6,2,0.07186491011100316
2,6,0.08191599591793874
6,15,0.09163665977629876
15,14,0.039581811340639206
14,11,0.0816588123194748
11,15,0.22676821341167397
15,13,0.24689948378117776
13,14,0.0373412024680988
14,10,0.16461927525666908
10,11,0.13553714065126599
11,3,0.01907841301630242
3,9,0.10505459638685011
9,10,0.10556056089578192
10,15,0.25714925641919706
15,16,0.065919818510082
16,1,0.2339750946775041
1,13,0.03626851358248473
13,2,0.1598601533051749
2,7,0.19852568806366833
7,3,0.1984284058344059
3,13,0.0946973067592296
13,4,0.22465979348878307
4,6,0.13466890808152243
6,11,0.10124902157843962
11,12,0.07176450197690087
12,7,0.23237305851658618
7,1,0.10219762067258387
1,1,0.07003208434439046
1,1,0.02087614095682966
1,13,0.5520809143279024
13,13,0.190087496785182
13,7,0.11980698327002415
7,6,0.03629508450120511
6,13,0.17068498042976898
13,13,0.05499021234687973
13,1,0.10657771768222801
1,9,0.10631593477071988
9,9,0.261231898637206
9,13,0.4997779872929584
13,9,0.005583933477069536
9,14,0.0028258306641646413
14,9,0.14421966513469897
9,9,0.020866259847082347
9,14,0.2758578942840728
14,15,0.12491248121000353
15,9,0.14962900964408732
9,7,0.08445087934450157
7,9,0.028078011861765617
9,5,0.10553797299124312
5,14,0.032178260414283955
14,5,0.017080680840933837
5,14,0.08034108445785648
14,1,0.04052628055271157
1,10,0.07055580166381503
10,10,0.13526802924792491
10,1,0.19846968364549866
1,5,0.2395689745504228
5,1,0.08772375901365592
1,2,0.10259106330232726
2,15,0.09651587192298905
15,5,0.048829979607347695
5,5,0.038256625325374216
5,14,0.08474614145710291
14,2,0.287338846500262
2,3,0.1553661111547342
3,5,0.007859784280014992
5,2,0.1030223869246214
2,15,0.1051455270200563
