Source,Target,Weight
1,1,18.1356099749369
1,2,16
1,5,6
1,6,4
1,7,7
1,9,13
1,10,4
1,11,2
1,13,12
1,14,7
1,15,6
2,2,7
2,3,18.1356099749369
2,5,5
2,6,6
2,7,6
2,9,5
2,10,11
2,11,7
2,13,6
2,14,11
2,15,16
3,1,6
3,2,17.7239727317434
3,3,3
3,4,2
3,5,5
3,6,9
3,7,5
3,9,1
3,10,4
3,11,8
3,13,6
3,14,9
3,15,9
3,16,1
4,6,1
4,10,1
4,15,1
5,1,6
5,2,4
5,3,6
5,5,16
5,6,7
5,9,3
5,10,4
5,11,3
5,13,6
5,14,7
5,15,6
6,1,7
6,2,9
6,3,6
6,6,5
6,7,10
6,9,5
6,10,3
6,11,7
6,13,6
6,14,4
6,15,8
7,1,8
7,2,4
7,3,7
7,5,2
7,6,11
7,7,1
7,8,2
7,9,4
7,10,1
7,11,3
7,13,5
7,14,8
7,15,4
8,2,1
8,5,1
9,1,6
9,2,1
9,3,1
9,5,6
9,6,4
9,7,4
9,9,14
9,10,8
9,13,9
9,14,9
9,15,6
10,1,7
10,2,4
10,3,6
10,5,3
10,6,4
10,7,7
10,10,7
10,11,9
10,13,10
10,14,4
10,15,9
11,1,4
11,2,5
11,3,3
11,5,7
11,6,5
11,7,4
11,9,5
11,10,9
11,11,2
11,12,1
11,13,4
11,14,4
11,15,7
12,3,1
12,7,1
13,1,11
13,2,12
13,3,10
13,4,1
13,5,6
13,6,6
13,7,5
13,9,6
13,10,5
13,11,5
13,13,18.4523157636392
13,14,7
14,1,12
14,2,12
14,3,16
14,5,8
14,6,3
14,7,5
14,9,7
14,10,9
14,11,8
14,12,1
14,14,8
14,15,16
15,1,8
15,2,7
15,3,6
15,5,3
15,6,5
15,7,5
15,9,5
15,10,4
15,11,6
15,13,10
15,14,18.354551682799
15,15,2
15,16,2
16,1,1
16,2,1
