Source,Target,Duration
1,1,0.07173583351629521
1,5,0.22218161590042462
5,9,0.016270712901946982
9,13,0.3566938522513918
13,13,0.3290044590272041
13,1,0.6774115101575335
1,5,0.10461650607451611
5,1,0.11106156738676609
1,9,0.1821989068193497
9,6,0.6633852250458507
6,6,0.14628902138572464
6,9,0.2469652216443574
9,1,0.012017288778552349
1,1,0.061747153400518506
1,13,0.41276121215471084
13,1,0.04496749725118798
1,2,0.3678919398564595
2,2,0.08084733179045145
2,13,0.0031464626571358068
13,13,0.11042368625655907
13,9,0.021871013641174386
9,13,0.09164817502428324
13,3,0.007716081336811342
3,7,0.12393221055350878
7,2,0.07871075084563817
2,2,0.08481605712816798
2,5,0.11150744269458013
5,5,0.21036491016799275
5,6,0.15912843531035836
6,13,0.12239357530030581
13,6,0.07816069485842903
6,14,0.024227775396484574
14,3,0.1571683032859985
3,2,0.005389938085719415
2,7,0.17325037445110336
7,10,0.05791482606070275
10,5,0.06395256932346527
5,10,0.015294232030301558
10,3,0.08191168597701814
3,3,2.237212555762369e-4
3,5,0.08790387386354226
5,2,0.10100928454134195
2,14,0.13777569090515396
14,15,0.10390929539483462
15,11,0.23177425970316978
11,6,0.016745441909237435
6,10,0.03577203564413445
10,14,0.030840713264331576
14,15,0.13789476214306085
15,14,0.04122965521518829
14,6,0.6296054359142875
6,3,0.13437468253824392
3,7,0.2130510176678868
7,1,0.022712037955300524
1,5,0.1862726097902181
5,1,0.02945295501994316
1,5,0.20923302914633268
5,11,0.22158798656077217
11,1,0.15520501141952892
1,6,0.07923104870907416
6,10,0.039314758769281255
10,1,0.1471787394156241
1,11,0.04219863898505949
11,9,0.5283055675907686
9,9,0.10701534468362617
9,1,0.02016825109074105
1,1,0.04539207184460814
1,15,0.051135382381024996
15,9,0.38252115352650407
9,1,0.32536646840493155
1,14,0.0862653250727714
14,9,0.03281052826217845
9,6,0.08539884462386205
6,2,0.46587175887113297
2,2,0.010258155505299626
2,3,0.30654738578032514
3,2,0.06008105026731769
2,2,0.004315070332499005
2,7,0.10705550850097723
7,10,0.06796157706595274
10,10,0.0085725455142871
10,5,0.4920709082442922
5,5,0.14185586059814526
5,11,0.21147598596530237
11,10,0.29808261806599745
10,3,0.8742853566599358
3,6,0.38959186822752834
6,6,0.663575052104127
6,11,0.045398575506769845
11,15,0.11958842790639501
15,7,0.11371816936217805
7,2,0.16450061780167857
2,10,0.028869552391229902
10,14,0.018028804070013393
14,5,0.015111125279778648
5,5,0.0054597185115330404
5,6,0.02081127346506051
6,6,0.5450894693307067
6,7,0.2946094380198687
7,11,0.17036293564128613
11,5,0.0304550886688304
5,15,0.06083758530098393
15,5,0.10020764382279168
5,6,0.008336257981085282
6,14,0.15279544712969084
14,3,0.4545599605018964
3,6,0.008314958279182605
6,9,0.06938778036998983
9,7,0.0561949881112902
7,5,0.018026668832835213
5,9,0.006693840512628668
9,5,0.07483952907980296
5,6,0.13640817752179402
6,15,0.06432246242616912
15,6,0.07307137061918212
6,13,0.261883858590231
13,13,0.13176782657062702
13,9,0.262428429500666
9,13,0.14182930301238983
13,9,0.36848681199717603
9,3,0.055608436819895246
3,7,0.08397395274423758
7,10,0.05739255294010093
10,10,0.13354153272720737
10,5,0.11831356234122481
5,11,0.11630927259101398
11,13,0.051002329000535696
13,5,0.04809534220180822
5,6,0.21603587846315975
6,13,0.034648525283049736
13,10,0.0037153128468219165
10,2,0.0377042928478204
2,6,0.0033884325278172867
6,11,0.04201423456924758
11,10,0.32797285114106955
10,7,0.22277674213672327
7,11,0.08535499449504513
11,13,0.06742683885389056
13,5,0.6834889791084571
5,5,0.0706113582840544
5,6,0.03762188731129967
6,13,0.30574029033160954
13,6,0.0057917971188707895
6,14,0.0862688575188777
14,3,0.29977458696325243
3,9,0.0069091064067237085
9,4,0.18900161553328587
4,9,0.20106076758460745
9,14,0.19599847124958458
14,1,0.2380055338005711
1,1,0.010074734241140249
1,7,0.021114811857049887
7,9,0.18363054836373038
9,1,0.858236929667509
1,15,0.1129105733703284
15,9,0.19992590135274213
9,14,0.14503176925984462
14,10,0.15391720713783386
10,10,0.006972462181416006
10,15,0.24592325222808142
15,1,0.308313056630503
1,1,0.14678600953260457
1,14,0.3360586521345006
14,1,0.2342220471565888
1,1,0.35135276009361505
1,2,0.07916263441567395
2,2,0.004744158753016592
2,11,0.21935848051382578
11,10,0.0014149304994042211
10,15,0.2567151730918482
15,14,0.16034088977778893
14,15,0.01622660927118247
15,14,0.1695502851132069
14,11,0.25802475486446497
11,10,0.006798834788305896
10,11,0.157822455449093
11,9,0.018786814989386613
9,15,0.3000867359744994
15,14,0.0845566050765818
14,15,0.45038481261927643
15,3,0.4345025126744133
3,13,0.31689259547505344
13,9,0.42000680408459345
9,9,0.1417584618106318
9,2,0.19685457608735035
2,13,0.09749303985765678
13,13,0.09618580039101943
13,13,0.11711186823977471
13,2,0.16520557152889026
2,9,0.029496747420527214
9,13,0.07002417172435571
13,9,0.23879625243673885
9,10,0.004478935161905895
10,10,0.0907688407779581
10,13,0.25793052232443614
13,13,0.22995497248072283
13,14,0.07623644022552867
14,3,0.2444754896746133
3,2,0.36367704336074524
2,11,0.3710917675246179
11,3,0.24097356117291469
3,3,0.3694636898711394
3,14,0.13977275818849222
14,2,0.10157749370354452
2,15,0.3866398053799145
15,10,0.20599770051217803
10,14,0.0032487164412700054
14,15,0.7179753190483282
15,14,0.0159121361247756
14,11,0.06130612057875595
11,3,0.77249080696110894
3,1,0.07630860943850593
1,1,0.11780980569712085
1,1,0.10778335948936757
1,1,0.5739701090056855
1,15,0.09735216550267722
15,14,0.12832549048768271
14,1,0.04535866615460549
1,1,0.24598072909645197
1,10,0.21864484031722498
10,15,0.1491710382706941
15,1,0.26571174980545464
1,2,0.07189791608703189
2,14,0.18333269687473575
14,2,0.43824191198671514
2,11,0.2270920178767568
11,15,0.04089001248883761
15,3,0.4324102018444691
3,14,0.17272182155840454
14,2,0.12284298844051733
2,2,0.08994562127009686
2,3,0.09408012003832056
3,2,0.12942065834266714
2,10,0.42719146755843695
10,3,0.05664932953526858
3,3,0.22508544937927866
3,2,0.12450221816802554
2,15,0.3072904590923926
15,13,0.3814364921659674
13,11,0.45318574908070275
11,13,0.248365069959533
13,13,0.05712061743775365
13,3,0.2738972193135609
3,13,0.1509750321981258
13,4,0.058708891803149754
4,1,0.08420634462689236
1,10,0.1501800773656896
10,11,0.06523004690922818
11,10,0.11821906000323423
10,13,0.02149005418110761
13,13,0.07704827527480518
13,1,0.0685113234381447
1,13,0.06320059543124756
13,11,0.03691071180909944
11,1,0.28581156259242846
1,11,0.0819423778748174
11,12,0.007860907649643423
12,9,0.10161316596263248
9,5,0.12064591061120211
5,6,4.644464195351361e-4
6,1,0.004570283660420671
1,7,0.02969478676137527
7,6,0.24288369522169262
6,14,0.049447202242895116
14,7,0.02428638528312632
7,8,0.04158200288385672
8,14,0.0472340179315367
14,9,0.12466906721728321
9,15,0.34621461294718614
15,14,0.11759749483548632
14,1,0.21014892829764165
1,15,0.12020143100285452
15,14,0.026562787322092163
14,1,0.3328939549602694
1,1,0.071569498046379465
1,9,0.1496221555887658
9,15,0.058463317172638085
15,9,0.1338245551670454
9,2,0.31186679928458716
2,9,0.1653315136000586
9,2,0.09626897567549975
2,14,0.030339177686464325
14,10,0.1824200568068619
10,10,0.2006971910219022
10,15,0.18221445062545882
15,14,0.1547559661864213
14,11,0.4337920734547609
11,10,0.13564566065652883
10,11,0.13515825881108157
11,3,0.0281165840715758
3,10,0.329681870392875
10,2,0.14159516003334716
2,2,0.03269107833718721
