Target,Source,Weight
1,1,18.7866339507523
1,2,6
1,6,2
1,7,1
1,8,4
1,9,1
1,10,1
1,11,3
1,12,3
1,13,3
1,16,6
1,17,3
1,18,5
1,19,1
1,20,1
2,2,7
2,3,18.354551682799
2,6,6
2,7,1
2,8,6
2,11,3
2,12,3
2,13,1
2,15,1
2,16,9
2,17,12
2,18,10
2,19,1
2,20,1
3,1,6
3,2,17.7239727317434
3,3,3
3,4,3
3,6,2
3,7,3
3,8,8
3,10,2
3,11,2
3,13,1
3,16,7
3,17,9
3,18,10
3,19,1
3,20,1
4,5,4
4,8,1
4,16,1
4,18,2
5,1,2
5,7,1
5,11,4
5,17,1
6,1,1
6,2,3
6,3,6
6,6,17.875329727996
6,7,11
6,12,2
6,16,6
6,17,5
6,18,4
6,19,3
7,1,3
7,2,5
7,3,9
7,7,3
7,8,8
7,11,2
7,12,4
7,13,5
7,15,1
7,16,8
7,17,6
7,18,6
7,19,2
7,20,2
8,1,1
8,2,3
8,3,2
8,4,2
8,6,6
8,7,17.1302633756264
8,9,2
8,12,2
8,14,1
8,16,5
8,17,5
8,18,7
8,19,1
9,3,1
9,10,3
9,14,1
9,16,3
10,1,1
10,6,1
10,17,2
10,18,2
10,19,1
11,1,4
11,2,2
11,6,2
11,8,5
11,11,2
11,12,7
11,16,1
11,18,1
12,1,2
12,3,2
12,6,1
12,7,3
12,8,3
12,9,1
12,12,1
12,13,10
12,16,3
12,17,2
12,18,2
12,19,2
13,1,1
13,2,4
13,7,1
13,8,1
13,11,2
13,12,5
13,14,5
13,16,1
13,17,3
13,18,1
14,7,1
14,15,5
14,17,1
14,18,1
15,3,1
15,6,5
15,16,1
15,17,1
16,1,6
16,2,6
16,3,9
16,4,1
16,6,7
16,7,7
16,8,8
16,9,2
16,11,2
16,12,3
16,16,19.8735106936655
16,17,7
17,1,4
17,2,12
17,3,13
17,4,1
17,5,2
17,6,5
17,7,7
17,8,4
17,10,2
17,11,1
17,12,2
17,17,16.8535533905933
17,18,18.1356099749369
18,1,5
18,2,14
18,3,6
18,4,1
18,5,2
18,6,3
18,7,6
18,8,5
18,9,2
18,11,2
18,13,3
18,14,1
18,15,1
18,17,17.5536490494478
18,18,4
18,19,4
19,1,1
19,2,3
19,3,1
19,6,1
19,8,3
19,13,1
19,16,3
19,20,3
20,1,2
20,2,1
20,11,1
20,16,4
