Source,Target,Duration
1,1,0.015484355592954316
1,6,0.0774501191014652
6,1,0.021787340584288578
1,11,0.004545822975679764
11,1,0.003834664616191863
1,6,0.028812134606497092
6,2,0.0034212373068741586
2,11,0.10730970510902671
11,16,0.0606611122675611
16,16,0.07839869379385589
16,16,0.18379704303070055
16,12,0.08375940889750177
12,16,0.17839932259183688
16,6,0.08766449495096562
6,16,0.09368006673964357
16,12,0.1213048417453586
12,16,0.009848879313731684
16,6,0.0038066659681974535
6,2,0.3232528504425376
2,6,0.18519535086222638
6,6,0.015747753907639384
6,6,0.4630991725139113
6,16,0.1639004563157611
16,7,0.16807705014856555
7,13,0.13239646079808765
13,7,0.03142761737820354
7,11,0.19464893637571556
11,11,0.010727651856505815
11,8,0.26608369452743164
8,7,0.013671207973362076
7,12,0.13467678433789532
12,8,0.038273928851135786
8,12,0.04489007691658298
12,7,0.03746930671512638
7,3,0.1674314814294835
3,8,0.12541094252141916
8,17,0.21690610660117793
17,17,0.24251538602599432
17,7,0.021719591616602862
7,13,0.3706075389014334
13,18,0.10607751561275247
18,11,0.022183545232443258
11,2,0.34169294198103195
2,11,0.022892592076082074
11,8,0.3129708440073413
8,7,0.08589727338104325
7,12,0.05774547801911112
12,8,0.2955084149465925
8,12,0.04647287020361457
12,7,0.056868919688972674
7,3,0.07616687886641937
3,8,0.5239663211947274
8,2,0.17227423373851014
2,17,0.2085837759661473
17,6,0.1820671306417223
6,17,0.08960338006561219
17,6,0.019770184123881762
6,6,0.039220461268032025
6,3,0.05454841822145973
3,1,0.044882208496510145
1,1,0.06075295621261567
1,1,0.0479963636708689
1,1,0.022769395511808455
1,13,0.15954831107112177
13,11,0.13453327076823296
11,18,0.054430078354661404
18,17,0.13854195152004856
17,18,0.0718742583680072
18,11,0.062260829706826115
11,6,0.259400271435398
6,18,0.24132718032555722
18,17,0.13857938320036922
17,6,0.08272737126935681
6,12,0.07288849530207564
12,6,0.04114166199031288
6,2,0.2774866351431644
2,6,0.04757109700414475
6,7,0.05813074813819519
7,18,0.2447869191396972
18,7,0.004749105553681687
7,2,0.09500496500388245
2,12,0.04687624069091001
12,3,0.03248985042844055
3,2,0.15723955196491346
2,19,0.39571183708223145
19,8,0.26186483161097485
8,16,0.043216103899030855
16,3,0.4365634914233638
3,16,0.02189402138827745
16,7,0.06540091901948131
7,13,0.002362117488221571
13,2,0.006183235967959888
2,16,0.053932017830492285
16,11,0.010382208177960095
11,8,0.01072689088912604
8,7,0.11232924616130191
7,16,0.11541449383646629
16,11,2.3892477636167087e-4
11,12,0.12495224355449785
12,16,0.07839469128522936
16,3,0.001928539690602804
3,1,0.02265125181724592
1,16,0.132821091237453
16,1,0.040228798316560344
1,16,0.09121824147901592
16,17,0.037695215782608926
17,17,0.1895349433914717
17,1,0.019441782632247495
1,12,0.04242640861910374
12,1,0.05287097098182869
1,18,0.05531918618375009
18,17,0.8604739633374514
17,17,0.24956194496361483
17,2,0.0016684014232399846
2,8,0.06928840566396133
8,7,0.10693825593391182
7,18,0.3079180570988509
18,17,0.3624029649487195
17,2,0.6679436305636841
2,8,0.07909568606478423
8,18,0.6569470305423764
18,18,0.08550187506952334
18,13,0.09451870789281358
13,17,0.006929938767793686
17,7,0.050701667945558526
7,3,0.1375239181070338
3,11,0.07529562993184413
11,2,0.1520554670088501
2,11,0.10559308040139825
11,12,0.4452669396691782
12,3,0.4665515357395158
3,8,0.11194511318074518
8,18,0.15052350338094556
18,7,0.0018095086621059409
7,12,0.050202642007810994
12,13,0.10554460498977036
13,2,0.14417665576658223
2,8,0.16133142637778164
8,6,0.04597312854613733
6,6,0.1962119678180052
6,3,0.05009586234794128
3,11,0.04227252001873083
11,11,0.04348257872401362
11,6,0.19651628410084498
6,6,0.033432938105306675
6,6,0.07739301545603183
6,6,0.21648559288668423
6,6,0.13449805178316154
6,12,0.022527167618150656
12,12,0.020508310070127322
12,7,0.04838473165274948
7,7,0.05538391624678951
7,1,0.30733458107542333
1,1,0.3053159224777531
1,13,0.34460380581991146
13,11,0.3634670334493535
11,8,0.015099945930774794
8,1,0.013115227949153763
1,7,0.20722579781796924
7,11,0.07778916474922326
11,1,0.10368952368206408
1,2,0.18904119419993748
2,12,0.3083114256147361
12,8,0.19109380813421595
8,7,0.00537005576615357
7,12,0.1707321586944417
12,19,0.307374836254958
19,13,0.12413381417538716
13,2,1.0774649678542403
2,3,0.14652030093762392
3,20,0.6410308608326041
20,2,0.04956212003771299
2,16,0.38101159962478803
16,16,0.3260058733533917
16,16,1.8527516929722765e-4
16,8,0.6162938044387829
8,7,0.028067685652413132
7,16,0.012586914447901165
16,16,0.4043961123480173
16,8,0.04160123858966713
8,16,0.05073430175051996
16,16,0.06320456705272193
16,7,0.023726284890081217
7,8,0.8076415344661214
8,17,0.21705590852271683
17,17,0.6542530556635704
17,18,0.3931889878330921
18,3,0.20465324430441
3,17,0.19049946379927007
17,7,0.1448028535625454
7,17,7.959101850048e-4
17,2,0.7655256069217522
2,3,0.11431037389953147
3,1,0.3872588242452544
1,1,0.7476103109917958
1,1,0.10361257821956826
1,18,0.24814937171605322
18,1,0.002488750186021349
1,1,0.010896537391463568
1,17,0.9204070458046836
17,18,0.03205225892656216
18,2,0.25215248539684154
2,3,0.18112853074891433
3,18,0.19562536063662606
18,2,0.33474474766736506
2,8,0.048189824227229394
8,6,0.4630484497427503
6,17,0.08048404455788472
17,6,0.03469099901630557
6,3,0.04140530539157794
3,2,0.03339035264887258
2,18,0.06564845528688323
18,2,0.39052931882161346
2,6,0.3871726855547877
6,19,0.013208405770051002
19,6,0.16350588853366332
6,16,0.16122315767152884
16,6,0.12483195371333977
6,6,0.06563193887266294
6,16,0.005686477687966374
16,6,0.017768992573650166
6,7,0.0619629382509288
7,16,0.10678365872956874
16,16,0.038888667222465756
16,7,0.19989133060111186
7,16,0.07344807054334268
16,3,0.1649604683729109
3,2,0.12473809155487459
2,16,0.35073114604917066
16,8,0.6660091527929879
8,7,0.024305341934727664
7,16,0.02103347840206027
16,8,0.27896220143185246
8,17,0.07100574609523846
17,7,0.10631455210177165
7,3,0.7201000588841637
3,17,0.057201642665823726
17,18,0.04616816604183782
18,17,0.26718619266728894
17,8,0.14357541657305717
8,17,0.034452981650126446
17,18,0.2568090789821085
18,17,0.054020886416878966
17,7,0.4764093057920178
7,2,2.803234868693494e-4
2,18,0.8716629339642878
18,8,0.09935586697474719
8,7,0.21963036574901196
7,18,0.17992834786559087
18,17,0.11751277603438126
17,3,0.06832155792559291
3,2,0.3843756053806402
2,3,0.3004057753679277
3,8,0.17110782570707528
8,18,0.10368544222110643
18,7,0.22678676606991388
7,8,0.04526160004650848
8,6,0.09414381445024134
6,3,0.39244736850039885
3,6,0.5707017202119218
6,6,0.38630046495681114
6,6,0.32061767593345536
6,6,0.030753968013904398
6,6,0.0945658370208804
6,6,0.16025842477933594
6,7,0.2466589953242888
7,7,0.09088749427292697
7,19,0.02158140703437539
19,8,0.47734122310407656
8,4,0.4014945287412459
4,5,0.45099962096166024
5,7,0.28060895274504105
7,20,0.1226663539719226
20,11,0.1674356542839206
11,8,0.022127095091690308
8,7,0.011729953357495049
7,16,0.04458008724223106
16,12,0.007806071666003334
12,13,0.1277898258463921
13,1,0.05449439381402499
1,1,0.16947974535910504
1,12,0.0033991232091139523
12,1,0.14611658979121955
1,13,0.08598484688204877
13,8,0.11697979378566714
8,14,0.06633259254476087
14,7,0.04775896768793331
7,1,0.01690875552247917
1,16,0.15782822154601206
16,8,0.28116679033632863
8,2,0.04087219287269761
2,2,0.19158695993603914
2,16,0.09047247860178231
16,16,0.038986003110863976
16,16,0.2198693203872324
16,16,0.08745972679555081
16,3,0.07746293497482526
3,16,0.1233255366629109
16,2,0.22510119445063737
2,7,0.48062534528273204
7,15,0.21258840599582385
15,3,0.5018824669010584
3,2,0.03949504624882394
2,17,0.08526504694723513
17,3,0.44457392698628695
3,1,0.046743024644534614
1,17,0.052234438877562184
17,18,0.3724597531228966
18,17,0.15124858623543247
17,17,0.02445435198591639
17,8,0.0978590893299156
8,7,0.0161660432211832
7,18,0.8595039111218483
18,1,0.06592253705658635
1,1,0.003578175091327296
1,1,0.20414460840280668
1,8,0.014642947562499842
8,6,0.018863387163015943
6,7,0.15255673017907867
7,17,0.10276385294454116
17,1,0.17564147127082208
1,2,0.03863665785368653
2,18,0.49281208349478334
18,18,0.27380830524783306
18,17,1.1208103421320743
17,18,1.3423926259580128
18,3,0.2685890151277164
3,8,0.5234108007343323
8,19,0.3435393398524411
19,2,0.02977209984295115
2,16,0.32168295465250907
16,16,0.32439882818930244
16,16,0.3314003253721367
16,16,0.28997682219639387
16,9,0.0736390406844194
9,16,0.11864990390118635
16,16,0.38252688533706447
16,16,0.03965797456563536
16,17,0.5984792555892895
17,3,0.06329937550196263
3,17,0.914608950390793
17,18,0.39202389421975425
18,2,0.11094247630285992
2,17,0.10040026222461051
17,2,0.1913933755960997
2,3,0.03674246426190564
3,10,0.09538970924560886
10,6,0.4861827426540586
6,17,0.0651565814216255
17,2,0.10323969920516163
2,6,0.28032799120514795
6,6,0.1334664002842061
6,6,0.5440013730317048
6,6,0.0390549795600208
6,6,0.42987990177196167
6,6,0.3253438119985219
6,7,0.010161347508216068
7,3,0.6541966201413061
3,7,0.11995391701917413
7,8,0.08130057531691648
8,18,0.1684441647560817
18,2,0.21811389477728937
2,3,0.6249767939545734
3,17,0.20942745922143047
17,7,0.16542885572468435
7,8,0.06859942625943916
8,18,0.08675265416647449
18,7,0.45351248883939377
7,2,0.006749549628722207
2,18,0.42100440845827336
18,17,0.332227768833917
17,3,0.2915245842903005
3,18,0.16340510796473495
18,19,0.021281140571574042
19,8,0.10326726356404947
8,3,0.5403450303193296
3,7,0.2978814752031127
7,20,0.06952457260803158
20,16,0.03454437577867964
16,16,0.22671372091490127
16,8,0.05962646225508195
8,7,0.06378262985236915
7,16,0.08219739050747421
16,16,3.673001881310256e-4
16,16,0.021619836649975355
16,16,0.20557948752515642
16,16,0.31082124078315587
16,4,0.1788981481619345
4,8,0.6927986044669723
8,7,0.18849865871692373
7,17,0.3207305530844877
17,17,0.6273390402235606
17,5,0.18849863695639613
5,1,0.0073298531871301975
1,18,0.0010727748860972497
18,1,0.06594881222315507
1,1,0.1250818462061858
1,11,0.0852137828844377
11,1,0.003370451287821652
1,1,0.01828367923334895
1,2,0.13057925808895732
2,17,0.08245449422902595
17,12,0.10927843622940259
12,17,0.44857618008025213
17,18,0.4397498862496718
18,8,0.20282647686283894
8,6,0.011286121625587953
6,17,0.055540699081177536
17,3,0.009251166617005424
3,6,0.24316894702609204
6,6,0.15974076329531783
6,6,0.18012808076542797
6,18,0.1329883405736325
18,6,0.3563094883683817
6,18,0.0463928008469594
18,6,0.03721160390323064
6,6,0.014360983198955068
6,7,0.08574795711045624
7,17,0.002538862969132083
17,18,0.043599473301114244
18,7,0.08855676334526663
7,13,0.03349189880240999
13,2,0.0012824402456601547
2,12,0.2290149274430462
12,19,0.2623186349863289
19,3,0.3123554151217718
3,8,0.31183913645628536
8,16,0.011486115909264072
16,2,0.02733053016466158
2,2,0.5271851704537198
2,3,0.21042113688565678
3,16,0.9368226024819535
16,16,0.26802050465074956
16,2,0.03103478682582761
2,3,0.16738654418841747
3,16,0.0021733304346867044
16,7,0.25567294496499926
7,13,0.006262357232159843
13,16,0.07728540159851605
16,16,0.005415240628721563
16,16,0.4188165787238347
16,17,0.12384620484857578
17,17,0.10988348894545652
17,2,0.26921041130368906
2,18,0.25516075925877146
18,14,0.21691153788330553
14,15,0.06211892721871948
15,17,0.025233118763722473
17,17,0.1107376268419813
17,18,0.14710429742153508
18,8,0.049847742913911475
8,7,0.5053001836410829
7,3,0.2330934329163199
3,17,0.1807933996782367
17,8,0.1362601458711481
8,18,0.32305980987555927
18,7,0.21870465133902428
7,18,0.3694709618171004
18,8,0.08095129835015769
8,7,0.289803884102966
7,17,0.34511663422181016
17,18,0.051646730818120545
18,19,0.054285825254908104
19,2,0.3172846506507483
2,20,0.2811416126460813
20,16,0.42774691249195484
16,3,0.18785718766253012
3,16,0.36788554575265664
16,8,0.05921197727201388
8,3,0.12654360212984272
3,7,0.13753956783497756
7,16,0.055324211416831304
16,8,0.007304399226825353
8,4,0.12431239116028792
4,16,0.019522926015085318
16,6,0.11509708716116052
6,16,0.2612626797556743
16,16,0.009877273348010362
16,16,0.04092190619378755
16,17,0.07085562348490271
17,7,0.2728647317881894
7,8,0.14776975109082002
8,17,0.15023231131422676
17,5,0.6388311345215101
5,1,0.04259655894608727
1,1,0.03319679764210548
1,18,0.0536696240899488
18,1,0.1827808913183162
1,1,0.20826761397991334
1,1,0.33975965719068313
1,11,0.07027270900736937
11,12,0.20945642689986244
12,13,0.24204738250722357
13,17,0.23141235950922123
17,12,0.054258279533797804
12,13,0.4381881670170742
13,17,0.46419925270109275
17,2,2.3884603072588106e-4
2,18,0.29233919674071274
18,9,0.5187377288344805
9,14,0.12560525575086956
14,17,0.14862465258751456
17,3,0.1355781034832262
3,10,0.20226566710185523
10,18,0.25626307134157855
18,2,0.014779780159898337
2,6,0.06776934233670318
6,3,0.05159945750432371
3,2,0.047007514561173025
2,2,0.18836346427548278
2,3,0.07170262875530398
3,18,0.013191152303420495
18,6,0.07776106671815342
6,6,0.027706341213658447
6,17,0.06640080835983042
17,6,0.10772773836688998
6,18,0.325493446955889
18,2,0.02306355259064219
2,6,0.026413210140148635
6,19,0.5338144533072864
19,16,0.07108092784655184
16,6,0.054672839501449744
6,16,0.053425623032879344
16,6,0.21989118878009606
6,3,0.030197139328706157
3,2,0.055712361961070656
2,16,0.03903344366534611
16,3,0.2140422767678558
3,2,0.13920811935452093
2,15,0.07776330448680824
15,16,0.07954258190194707
16,16,0.1013205420963601
16,16,0.13165207839972481
16,16,0.1503627478830083
16,7,0.09719879985735247
7,7,0.18336176638352697
7,17,0.2939937294412971
17,17,2.385120095899879
17,8,2.88114983760579e-4
8,7,0.3383093575141771
7,3,0.6134007476070025
3,3,0.00490944727663134
3,4,0.05538734298396264
4,18,0.1898321119197277
18,5,0.3666881811129201
5,11,0.20330322272867818
11,12,0.028217821355781325
12,17,0.1755428147974527
17,17,0.19303603656810253
17,1,0.5089444045389797
1,1,0.010212768639803471
1,1,0.38470192287623206
1,8,0.4337569752306507
8,7,0.03144409167833828
7,1,0.07121761181329589
1,8,0.416065590912325
8,7,0.004993946904875202
7,2,0.0152976922096002
2,2,0.26416272526400064
