t,s1,t1,s2,t2,s3,t3,s4,t4
1,0,0,1,1,0,0,1,1
1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,0,0
2,0,0,1,1,1,1,1,1
2,0,0,1,1,1,1,1,1
2,0,0,0,0,1,1,1,1
2,0,0,0,0,1,1,0,0
3,1,1,2,2,1,1,1,2
4,0,0,3,2,0,0,2,3
5,0,0,2,3,2,2,2,2
5,0,0,0,0,2,3,2,3
5,0,0,0,0,3,2,3,2
6,1,1,0,0,2,3,0,0
6,0,0,0,0,3,2,0,0
7,1,1,2,3,3,3,0,0
7,1,1,0,0,3,2,0,0
8,2,2,0,0,0,0,0,0
8,2,3,0,0,0,0,0,0
9,0,0,3,2,0,0,0,0
9,0,0,2,3,0,0,0,0
10,2,2,0,0,3,1,3,3
10,0,0,0,0,1,1,3,2
10,0,0,0,0,0,0,2,3
11,0,0,1,1,1,1,1,1
11,0,0,0,0,1,1,1,1
11,0,0,0,0,1,1,0,0
11,0,0,0,0,1,1,0,0
11,0,0,0,0,1,2,0,0
11,0,0,0,0,2,2,0,0
12,3,2,0,0,0,0,1,1
12,2,3,0,0,0,0,0,0
12,3,3,0,0,0,0,0,0
12,3,2,0,0,0,0,0,0
13,3,1,1,1,0,0,1,1
13,1,1,0,0,0,0,0,0
14,0,0,0,0,3,2,2,2
14,0,0,0,0,2,2,0,0
15,1,1,1,1,0,0,3,2
15,1,1,0,0,0,0,2,2
15,1,1,0,0,0,0,0,0
16,0,0,1,2,3,2,0,0
16,0,0,2,2,2,3,0,0
16,0,0,0,0,3,3,0,0
17,1,2,3,2,2,3,3,2
17,0,0,2,2,0,0,2,3
18,2,3,3,2,1,1,0,0
18,3,2,2,3,0,0,0,0
18,2,2,0,0,0,0,0,0
18,2,3,0,0,0,0,0,0
19,0,0,3,2,0,0,3,2
20,2,3,0,0,1,1,0,0
20,3,3,0,0,1,2,0,0
20,0,0,0,0,2,2,0,0
21,2,3,3,1,3,2,3,1
21,3,1,0,0,0,0,1,1
22,1,1,1,1,0,0,0,0
22,1,1,1,1,0,0,0,0
22,0,0,1,2,0,0,0,0
23,2,2,0,0,3,2,0,0
23,2,3,0,0,2,3,0,0
23,3,2,0,0,3,1,0,0
23,2,3,0,0,0,0,0,0
24,2,3,2,3,1,1,1,1
24,0,0,0,0,1,1,1,2
24,0,0,0,0,1,1,0,0
25,1,1,0,0,2,2,2,3
25,1,1,0,0,2,3,3,2
25,1,1,0,0,0,0,2,3
25,0,0,0,0,0,0,3,2
25,0,0,0,0,0,0,2,3
26,0,0,2,3,0,0,1,1
26,0,0,3,2,0,0,0,0
27,1,2,3,1,2,3,0,0
27,2,2,0,0,0,0,0,0
27,2,3,0,0,0,0,0,0
27,3,2,0,0,0,0,0,0
28,0,0,0,0,2,3,0,0
28,0,0,0,0,3,2,0,0
29,3,2,1,1,3,2,1,1
29,2,3,1,1,2,3,0,0
29,3,2,0,0,0,0,0,0
29,2,3,0,0,0,0,0,0
30,2,3,1,2,2,3,1,2
30,0,0,2,2,3,3,2,2
31,2,3,3,2,1,1,3,2
31,3,3,0,0,0,0,2,3
31,3,1,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0
32,2,2,3,2,0,0,2,3
32,2,3,2,3,0,0,0,0
32,3,1,0,0,0,0,0,0
32,1,2,0,0,0,0,0,0
33,0,0,0,0,0,0,2,3
34,0,0,2,3,0,0,2,3
34,0,0,0,0,0,0,3,2
34,0,0,0,0,0,0,2,3
34,0,0,0,0,0,0,3,3
35,0,0,2,3,2,2,1,1
36,0,0,0,0,3,1,0,0
37,0,0,2,3,0,0,2,2
37,0,0,3,3,0,0,0,0
37,0,0,3,1,0,0,0,0
39,3,2,1,2,2,3,3,1
39,2,3,0,0,3,2,0,0
39,3,1,0,0,2,3,0,0
39,0,0,0,0,3,1,0,0
41,1,1,2,3,1,1,2,3
41,0,0,3,1,1,1,3,2
41,0,0,1,2,1,1,0,0
41,0,0,2,3,1,1,0,0
42,1,1,2,3,1,2,0,0
42,0,0,0,0,2,2,0,0
43,1,1,1,1,0,0,3,1
43,1,2,1,1,0,0,1,1
43,2,2,0,0,0,0,0,0
44,3,2,1,1,3,2,0,0
44,0,0,1,1,0,0,0,0
44,0,0,1,1,0,0,0,0
44,0,0,1,2,0,0,0,0
45,0,0,2,3,0,0,0,0
45,0,0,3,2,0,0,0,0
46,3,2,0,0,3,2,1,1
46,0,0,0,0,2,3,1,1
46,0,0,0,0,0,0,1,1
47,0,0,0,0,0,0,1,2
48,0,0,3,2,2,3,2,3
48,0,0,0,0,3,2,3,2
48,0,0,0,0,2,3,2,3
48,0,0,0,0,3,2,3,2
48,0,0,0,0,2,3,0,0
48,0,0,0,0,3,1,0,0
49,3,2,3,2,2,3,3,2
49,2,3,0,0,3,4,0,0
49,3,2,0,0,4,1,0,0
50,3,2,0,0,1,1,0,0
50,2,3,0,0,1,1,0,0
50,3,1,0,0,1,1,0,0
51,2,3,3,2,1,1,3,2
51,3,4,2,3,1,2,0,0
51,0,0,0,0,2,2,0,0
51,0,0,0,0,2,3,0,0
51,0,0,0,0,3,2,0,0
51,0,0,0,0,2,2,0,0
51,0,0,0,0,2,3,0,0
52,1,1,2,3,2,3,3,2
52,1,1,3,1,0,0,0,0
52,1,1,1,2,0,0,0,0
52,0,0,2,3,0,0,0,0
52,0,0,3,4,0,0,0,0
53,1,1,1,1,3,2,0,0
53,1,1,1,1,2,3,0,0
53,1,2,1,1,3,1,0,0
53,0,0,0,0,1,1,0,0
54,2,3,1,1,1,1,0,0
54,3,2,1,1,0,0,0,0
54,2,2,1,2,0,0,0,0
55,0,0,2,3,1,1,3,1
55,0,0,3,2,1,1,1,2
55,0,0,2,2,0,0,2,3
55,0,0,2,3,0,0,3,4
55,0,0,0,0,0,0,4,1
55,0,0,0,0,0,0,1,1
55,0,0,0,0,0,0,1,1
55,0,0,0,0,0,0,1,1
56,3,2,0,0,2,2,1,1
56,2,3,0,0,2,3,1,1
56,0,0,0,0,3,2,1,2
56,0,0,0,0,2,2,2,2
56,0,0,0,0,2,3,2,3
57,0,0,2,3,0,0,0,0
58,3,2,3,2,0,0,2,2
58,0,0,2,3,0,0,0,0
59,3,1,0,0,2,3,3,2
59,1,1,0,0,3,3,2,3
59,1,1,0,0,3,2,0,0
59,0,0,0,0,2,3,0,0
59,0,0,0,0,3,1,0,0
60,1,1,1,1,1,1,3,2
60,1,1,0,0,1,1,2,3
60,0,0,0,0,1,2,0,0
60,0,0,0,0,2,2,0,0
61,1,2,1,1,0,0,1,1
61,0,0,1,1,0,0,1,1
61,0,0,1,1,0,0,0,0
62,2,3,1,2,3,2,1,1
62,0,0,2,2,2,3,1,1
62,0,0,0,0,3,2,0,0
62,0,0,0,0,2,3,0,0
63,2,2,3,2,1,1,1,2
63,2,3,2,2,0,0,2,2
63,0,0,2,3,0,0,0,0
63,0,0,3,2,0,0,0,0
64,2,3,0,0,1,1,3,2
64,3,3,0,0,1,1,0,0
64,3,2,0,0,0,0,0,0
65,3,1,0,0,2,2,0,0
65,1,1,0,0,2,3,0,0
65,1,1,0,0,3,2,0,0
65,0,0,0,0,2,3,0,0
66,1,2,0,0,0,0,2,3
66,2,2,0,0,0,0,3,2
67,3,2,3,3,2,3,3,3
67,0,0,3,2,3,2,3,2
67,0,0,0,0,2,3,0,0
68,0,0,3,1,2,3,3,1
68,0,0,0,0,3,2,1,1
68,0,0,0,0,0,0,1,1
69,3,2,1,1,3,3,1,2
69,0,0,1,1,0,0,2,2
70,0,0,2,2,1,1,3,2
70,0,0,2,3,0,0,2,3
70,0,0,0,0,0,0,3,2
70,0,0,0,0,0,0,2,3
70,0,0,0,0,0,0,3,1
70,0,0,0,0,0,0,1,1
71,3,1,0,0,2,2,1,1
71,1,1,0,0,0,0,1,1
71,1,1,0,0,0,0,1,2
72,1,1,2,3,3,1,2,3
72,0,0,3,2,1,2,3,2
72,0,0,2,3,2,3,2,3
73,2,2,1,1,2,3,2,3
73,2,3,1,1,3,1,3,2
73,3,2,0,0,0,0,2,3
74,3,2,1,1,0,0,2,3
