t,s1,t1,s2,t2,s3,t3,s4,t4
1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,0,0
1,0,0,1,2,0,0,0,0
1,0,0,2,2,0,0,0,0
2,1,1,3,2,2,2,0,0
2,1,1,2,3,0,0,0,0
2,0,0,3,2,0,0,0,0
3,1,1,3,1,3,1,1,1
3,0,0,1,1,1,1,0,0
4,2,2,1,1,2,2,1,1
4,0,0,0,0,2,3,0,0
4,0,0,0,0,3,1,0,0
5,3,2,0,0,1,2,1,2
5,0,0,0,0,2,2,0,0
6,2,3,2,2,3,1,2,3
6,0,0,2,3,1,1,3,2
6,0,0,3,2,0,0,2,3
6,0,0,2,3,0,0,3,2
6,0,0,0,0,0,0,2,3
7,0,0,2,3,2,2,0,0
7,0,0,0,0,2,3,0,0
7,0,0,0,0,3,1,0,0
8,2,3,1,1,1,2,2,3
8,3,3,1,1,2,2,3,2
8,0,0,1,1,0,0,2,3
8,0,0,1,2,0,0,3,2
8,0,0,2,2,0,0,2,3
9,0,0,3,2,3,1,1,1
9,0,0,2,3,1,1,1,1
9,0,0,3,2,1,2,0,0
9,0,0,2,3,0,0,0,0
10,2,3,1,1,2,3,0,0
10,0,0,1,1,3,1,0,0
10,0,0,1,1,1,1,0,0
10,0,0,1,2,1,2,0,0
10,0,0,0,0,2,2,0,0
10,0,0,0,0,2,3,0,0
11,1,1,2,3,1,1,1,1
11,0,0,3,2,1,2,0,0
11,0,0,0,0,2,2,0,0
11,0,0,0,0,2,3,0,0
12,1,1,3,2,0,0,1,1
12,1,1,2,3,0,0,1,2
12,1,1,0,0,0,0,2,2
13,1,2,1,1,0,0,3,2
13,2,2,1,1,0,0,2,3
13,2,3,1,1,0,0,3,2
13,3,2,1,2,0,0,0,0
13,2,2,0,0,0,0,0,0
13,2,3,0,0,0,0,0,0
14,2,3,2,3,0,0,3,2
14,0,0,3,2,0,0,0,0
14,0,0,2,3,0,0,0,0
14,0,0,3,2,0,0,0,0
